table_label,row,column,tex_value,saved_value,passed
tab:discretization-comparison,5,5,2.0934,2.09338475688002,True
tab:discretization-comparison,5,6,5.94,5.937,True
tab:discretization-comparison,5,7,$-5.9\cdot10^{-15}$,-5.88459661577667e-15,True
tab:discretization-comparison,5,8,$1.7\cdot10^{-14}$,1.69509991185534e-14,True
tab:discretization-comparison,6,3,38227,38227.0,True
tab:discretization-comparison,6,4,13,13.0,True
tab:discretization-comparison,6,5,2.1466,2.14659000007924,True
tab:discretization-comparison,6,6,0.50,0.498,True
tab:discretization-comparison,6,7,$-2.8\cdot10^{-4}$,-0.000280480472476232,True
tab:discretization-comparison,6,8,---,nan,True
tab:discretization-comparison,7,3,132160,132160.0,True
tab:discretization-comparison,7,4,10,10.0,True
tab:discretization-comparison,7,5,2.1451,2.14511748080396,True
tab:discretization-comparison,7,6,0.80,0.798,True
tab:discretization-comparison,7,7,$0$,-0.0,True
tab:discretization-comparison,7,8,$3.0\cdot10^{-14}$,2.95070511383087e-14,True
tab:discretization-comparison,8,3,132160,132160.0,True
tab:discretization-comparison,8,4,9,9.0,True
tab:discretization-comparison,8,5,2.1239,2.12388641081308,True
tab:discretization-comparison,8,6,5.89,5.889,True
tab:discretization-comparison,8,7,$-1.5\cdot10^{-14}$,-1.46164983119313e-14,True
tab:discretization-comparison,8,8,$3.3\cdot10^{-14}$,3.34686976820875e-14,True
tab:discretization-comparison,9,3,150179,150179.0,True
tab:discretization-comparison,9,4,15,15.0,True
tab:discretization-comparison,9,5,2.1452,2.14522397040726,True
tab:discretization-comparison,9,6,0.69,0.69,True
tab:discretization-comparison,9,7,$-1.8\cdot10^{-4}$,-0.000182184265687918,True
tab:discretization-comparison,9,8,---,nan,True
tab:reynolds-stokes-comparison,1,1,0.5,0.5,True
tab:reynolds-stokes-comparison,1,2,8,8.0,True
tab:reynolds-stokes-comparison,1,3,0.0625,0.0625,True
tab:reynolds-stokes-comparison,1,4,3.3653,3.36533279281604,True
tab:reynolds-stokes-comparison,1,5,3.3631,3.36313463539063,True
tab:reynolds-stokes-comparison,1,6,0.63\%,0.633727933767539,True
tab:reynolds-stokes-comparison,1,7,$-6.094$,-6.093875,True
tab:reynolds-stokes-comparison,1,8,$-5.813$,-5.812625,True
tab:reynolds-stokes-comparison,2,1,1.0,1.0,True
tab:reynolds-stokes-comparison,2,2,4,4.0,True
tab:reynolds-stokes-comparison,2,3,0.25,0.25,True
tab:reynolds-stokes-comparison,2,4,5.4940,5.49395397626472,True
tab:reynolds-stokes-comparison,2,5,5.4465,5.44646918313774,True
tab:reynolds-stokes-comparison,2,6,1.34\%,1.33734530307056,True
tab:reynolds-stokes-comparison,2,7,$-5.250$,-5.250125,True
tab:reynolds-stokes-comparison,2,8,$-5.063$,-5.062625,True
tab:reynolds-stokes-comparison,3,1,1.0,1.0,True
tab:reynolds-stokes-comparison,3,2,2,2.0,True
tab:reynolds-stokes-comparison,3,3,0.5,0.5,True
tab:reynolds-stokes-comparison,3,4,3.8098,3.80978179680641,True
tab:reynolds-stokes-comparison,3,5,3.7366,3.7366013306697,True
tab:reynolds-stokes-comparison,3,6,2.48\%,2.48477907347848,True
tab:reynolds-stokes-comparison,3,7,$-3.188$,-3.187625,True
tab:reynolds-stokes-comparison,3,8,$-3.094$,-3.093875,True
tab:reynolds-stokes-comparison,4,1,1.0,1.0,True
tab:reynolds-stokes-comparison,4,2,1,1.0,True
tab:reynolds-stokes-comparison,4,3,1.0,1.0,True
tab:reynolds-stokes-comparison,4,4,2.2158,2.21576761185835,True
tab:reynolds-stokes-comparison,4,5,2.1289,2.1288799493627,True
tab:reynolds-stokes-comparison,4,6,4.52\%,4.51793653251564,True
tab:reynolds-stokes-comparison,4,7,$-1.781$,-1.781375,True
tab:reynolds-stokes-comparison,4,8,$-1.969$,-1.968875,True
tab:pressure-end-refinement,1,2,8192,8192.0,True
tab:pressure-end-refinement,1,3,\(3/32\),0.09375,True
tab:pressure-end-refinement,1,4,\(-1.7814\),-1.781375,True
tab:pressure-end-refinement,1,5,\(-1.9689\),-1.968875,True
tab:pressure-end-refinement,1,6,2.128880,2.1288799493627,True
tab:pressure-end-refinement,2,2,24576,24576.0,True
tab:pressure-end-refinement,2,3,\(3/64\),0.046875,True
tab:pressure-end-refinement,2,4,\(-1.8283\),-1.82825,True
tab:pressure-end-refinement,2,5,\(-1.9689\),-1.968875,True
tab:pressure-end-refinement,2,6,2.125899,2.12589877260512,True
tab:pressure-end-refinement,3,2,81920,81920.0,True
tab:pressure-end-refinement,3,3,\(3/128\),0.0234375,True
tab:pressure-end-refinement,3,4,\(-1.8050\),-1.805,True
tab:pressure-end-refinement,3,5,\(-1.9689\),-1.968875,True
tab:pressure-end-refinement,3,6,2.125309,2.12530907104634,True
tab:pressure-end-refinement,4,2,131072,131072.0,True
tab:pressure-end-refinement,4,3,\(3/128\),0.0234375,True
tab:pressure-end-refinement,4,4,\(-1.8050\),-1.805,True
tab:pressure-end-refinement,4,5,\(-1.9689\),-1.968875,True
tab:pressure-end-refinement,4,6,2.125334,2.12533414001531,True
tab:pressure-end-refinement,5,2,82048,82048.0,True
tab:pressure-end-refinement,5,3,\(3/128\),0.0234375,True
tab:pressure-end-refinement,5,4,\(-1.8166\),-1.816625,True
tab:pressure-end-refinement,5,5,\(-1.9573\),-1.95725,True
tab:pressure-end-refinement,5,6,2.125267,2.12526651799285,True
tab:domain-length-sensitivity,1,1,0,0.0,True
tab:domain-length-sensitivity,1,2,24,24.0,True
tab:domain-length-sensitivity,1,3,2.2158,2.21576761185835,True
tab:domain-length-sensitivity,1,4,$-1.781$,-1.781375,True
tab:domain-length-sensitivity,1,5,2.1473,2.14730040729985,True
tab:domain-length-sensitivity,1,6,0.843,0.843,True
tab:domain-length-sensitivity,1,7,2.1289,2.1288799493627,True
tab:domain-length-sensitivity,1,8,$-1.969$,-1.968875,True
tab:domain-length-sensitivity,2,1,$-12$,-12.0,True
tab:domain-length-sensitivity,2,2,24,24.0,True
tab:domain-length-sensitivity,2,3,2.2158,2.21576761185835,True
tab:domain-length-sensitivity,2,4,$-1.781$,-1.781375,True
tab:domain-length-sensitivity,2,5,2.1472,2.14714760459147,False
tab:domain-length-sensitivity,2,6,1.218,1.218,True
tab:domain-length-sensitivity,2,7,2.1289,2.12887994936272,True
tab:domain-length-sensitivity,2,8,$-1.969$,-1.968875,True
tab:domain-length-sensitivity,3,1,0,0.0,True
tab:domain-length-sensitivity,3,2,36,36.0,True
tab:domain-length-sensitivity,3,3,2.4018,2.40180570337221,True
tab:domain-length-sensitivity,3,4,$-1.969$,-1.968875,True
tab:domain-length-sensitivity,3,5,2.3488,2.34883590568235,True
tab:domain-length-sensitivity,3,6,0.000,0.0,True
tab:domain-length-sensitivity,3,7,2.3353,2.33525638372648,True
tab:domain-length-sensitivity,3,8,$-2.438$,-2.437625,True
tab:domain-length-sensitivity,4,1,$-12$,-12.0,True
tab:domain-length-sensitivity,4,2,36,36.0,True
tab:domain-length-sensitivity,4,3,2.4018,2.40180570337221,True
tab:domain-length-sensitivity,4,4,$-1.969$,-1.968875,True
tab:domain-length-sensitivity,4,5,2.3474,2.34742599068504,True
tab:domain-length-sensitivity,4,6,0.000,0.0,True
tab:domain-length-sensitivity,4,7,2.3353,2.33525638372643,True
tab:domain-length-sensitivity,4,8,$-2.438$,-2.437625,True
tab:domain-length-sensitivity,5,1,$-36$,-36.0,True
tab:domain-length-sensitivity,5,2,60,60.0,True
tab:domain-length-sensitivity,5,3,2.5115,2.51147885995306,True
tab:domain-length-sensitivity,5,4,$-2.156$,-2.156375,True
tab:domain-length-sensitivity,5,5,2.4659,2.4658813018449,True
tab:domain-length-sensitivity,5,6,0.000,0.0,True
tab:domain-length-sensitivity,5,7,2.4561,2.45605322796172,True
